date,ticker,signal,confidence,rejection_reason,rejection_layer
2024-01-02,CRM,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-01-03,WFC,BUY,0.667297,Already holding position,backtest
2024-01-03,ISRG,BUY,0.64536,Already holding position,backtest
2024-01-03,GILD,BUY,0.622793,Already holding position,backtest
2024-01-03,AMZN,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-01-03,NFLX,BUY,0.603762,Already holding position,backtest
2024-01-04,NVDA,BUY,0.666545,Already holding position,backtest
2024-01-04,GILD,BUY,0.6498,Already holding position,backtest
2024-01-04,ISRG,BUY,0.635761,Already holding position,backtest
2024-01-04,MS,BUY,0.622793,Already holding position,backtest
2024-01-04,AMZN,BUY,0.622793,Sector Tech at max 3 positions,sector_limit
2024-01-04,COST,BUY,0.622793,Already holding position,backtest
2024-01-04,META,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-04,JNJ,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-01-04,NFLX,BUY,0.604343,Already holding position,backtest
2024-01-04,AMGN,BUY,0.604343,Already holding position,backtest
2024-01-05,META,BUY,0.63189,Sector Tech at max 3 positions,sector_limit
2024-01-05,GS,BUY,0.622793,Already holding position,backtest
2024-01-05,LLY,BUY,0.622793,Sector Health at max 3 positions,sector_limit
2024-01-05,CRM,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-01-08,GILD,BUY,0.622793,Already holding position,backtest
2024-01-08,V,BUY,0.622793,Sector Finance at max 3 positions,sector_limit
2024-01-08,QCOM,BUY,0.619864,Sector Tech at max 3 positions,sector_limit
2024-01-08,QQQ,BUY,0.613609,Already holding position,backtest
2024-01-08,LLY,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-01-08,TXN,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-01-08,MU,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-01-08,GS,BUY,0.604343,Already holding position,backtest
2024-01-09,BRK-B,BUY,0.639941,Sector Finance at max 3 positions,sector_limit
2024-01-09,NFLX,BUY,0.629171,Already holding position,backtest
2024-01-09,WMT,BUY,0.625602,Sector Consumer at max 3 positions,sector_limit
2024-01-09,CRM,BUY,0.620713,Sector Tech at max 3 positions,sector_limit
2024-01-09,AMZN,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-09,GOOGL,BUY,0.606289,Sector Tech at max 3 positions,sector_limit
2024-01-09,ADBE,BUY,0.600989,Sector Tech at max 3 positions,sector_limit
2024-01-10,PG,BUY,0.6471,Sector Consumer at max 3 positions,sector_limit
2024-01-10,BRK-B,BUY,0.635761,Sector Finance at max 3 positions,sector_limit
2024-01-10,LLY,BUY,0.63189,Sector Health at max 3 positions,sector_limit
2024-01-10,AXP,BUY,0.622793,Sector Finance at max 3 positions,sector_limit
2024-01-10,MS,BUY,0.604343,Already holding position,backtest
2024-01-10,QQQ,BUY,0.604343,Already holding position,backtest
2024-01-11,PG,BUY,0.662173,Sector Consumer at max 3 positions,sector_limit
2024-01-11,WMT,BUY,0.643302,Sector Consumer at max 3 positions,sector_limit
2024-01-11,WFC,BUY,0.63189,Already holding position,backtest
2024-01-11,AXP,BUY,0.63189,Sector Finance at max 3 positions,sector_limit
2024-01-11,KO,BUY,0.629171,Already holding position,backtest
2024-01-11,JNJ,BUY,0.625602,Sector Health at max 3 positions,sector_limit
2024-01-11,GS,BUY,0.622793,Already holding position,backtest
2024-01-11,DIS,BUY,0.622793,Already holding position,backtest
2024-01-11,GOOGL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-11,BAC,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-01-11,QQQ,BUY,0.604343,Already holding position,backtest
2024-01-12,MSFT,BUY,0.640894,Already holding position,backtest
2024-01-12,CAT,BUY,0.629171,Already holding position,backtest
2024-01-12,PG,BUY,0.613609,Sector Consumer at max 3 positions,sector_limit
2024-01-12,AXP,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-01-12,HD,BUY,0.604343,Sector Consumer at max 3 positions,sector_limit
2024-01-16,LLY,BUY,0.63189,Sector Health at max 3 positions,sector_limit
2024-01-16,PYPL,BUY,0.623364,Sector Tech at max 3 positions,sector_limit
2024-01-16,MRK,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-01-16,HD,BUY,0.600989,Sector Consumer at max 3 positions,sector_limit
2024-01-17,AMZN,BUY,0.619864,Sector Tech at max 3 positions,sector_limit
2024-01-17,NFLX,BUY,0.613609,Already holding position,backtest
2024-01-17,MSFT,BUY,0.604343,Already holding position,backtest
2024-01-17,GS,BUY,0.604343,Already holding position,backtest
2024-01-17,AXP,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-01-18,CAT,BUY,0.644468,Already holding position,backtest
2024-01-18,ADBE,BUY,0.629171,Already holding position,backtest
2024-01-18,CRM,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-18,AXP,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-01-18,TXN,BUY,0.605738,Sector Tech at max 3 positions,sector_limit
2024-01-18,V,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-01-18,MU,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-01-19,NFLX,BUY,0.63189,Already holding position,backtest
2024-01-19,DIS,BUY,0.622793,Already holding position,backtest
