date,ticker,signal,confidence,signal_source,sector,n_matches,raw_prob,mean_7d_return
2024-01-02,SPY,HOLD,0.53773,KNN,Index,51,0.509804,-0.4181
2024-01-03,SPY,HOLD,0.498889,KNN,Index,51,0.431373,-0.4634
2024-01-04,SPY,HOLD,0.528044,KNN,Index,51,0.490196,0.4233
2024-01-05,SPY,HOLD,0.479445,KNN,Index,51,0.392157,-0.2484
2024-01-08,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.4044
2024-01-09,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.1896
2024-01-10,SPY,HOLD,0.528044,KNN,Index,51,0.490196,0.3648
2024-01-11,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.5611
2024-01-12,SPY,HOLD,0.489163,KNN,Index,51,0.411765,-0.2291
2024-01-16,SPY,HOLD,0.518337,KNN,Index,51,0.470588,0.1152
2024-01-17,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.4711
2024-01-18,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.4454
2024-01-19,SPY,HOLD,0.566588,KNN,Index,51,0.568627,-0.1149
2024-01-22,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.1347
2024-01-23,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.0325
2024-01-24,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.424
2024-01-25,SPY,HOLD,0.489163,KNN,Index,51,0.411765,-0.0499
2024-01-26,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.1439
2024-01-29,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.7029
2024-01-30,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.2918
2024-01-31,SPY,HOLD,0.508617,KNN,Index,51,0.45098,0.0951
2024-02-01,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.142
2024-02-02,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.0066
2024-02-05,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.4897
2024-02-06,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.326
2024-02-07,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.1564
2024-02-08,SPY,HOLD,0.469742,KNN,Index,51,0.372549,-0.5641
2024-02-09,SPY,HOLD,0.585592,KNN,Index,51,0.607843,-0.1343
2024-02-12,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.1857
