max_distance	fold	fold_label	AvgK	BSS	n_scored	n_buy	n_sell	n_hold	runtime_s
1.000000	0	2019	0.039000	-0.005301	0	0	0	13104	0.690000
1.000000	1	2020-COVID	0.052000	-0.009083	0	0	0	13156	0.620000
1.000000	2	2021	0.053000	-0.022946	0	0	0	13104	0.700000
1.000000	3	2022-Bear	0.064000	-0.003381	0	3	0	13052	0.650000
1.000000	4	2023	0.052000	-0.007832	0	0	0	13000	0.700000
1.000000	5	2024-Val	0.068000	-0.019310	0	0	0	13104	0.760000
1.500000	0	2019	2.494000	-0.084742	33	64	18	13071	0.750000
1.500000	1	2020-COVID	3.072000	-0.084568	42	55	16	13114	0.720000
1.500000	2	2021	3.139000	-0.128884	57	49	19	13047	0.720000
1.500000	3	2022-Bear	3.675000	-0.009850	9	360	9	13043	0.710000
1.500000	4	2023	3.362000	-0.058185	37	52	15	12963	0.780000
1.500000	5	2024-Val	3.727000	-0.132821	61	47	16	13043	0.730000
2.000000	0	2019	19.761000	-0.046170	71	106	43	13033	0.740000
2.000000	1	2020-COVID	21.619000	-0.037635	71	76	27	13085	0.800000
2.000000	2	2021	22.653000	-0.055664	93	66	33	13011	0.800000
2.000000	3	2022-Bear	23.929000	-0.007240	17	568	12	13035	0.750000
2.000000	4	2023	23.086000	-0.027900	51	57	26	12949	0.800000
2.000000	5	2024-Val	23.499000	-0.052846	78	61	21	13026	0.860000
2.500000	0	2019	41.166000	-0.003395	14	18	12	13090	0.820000
2.500000	1	2020-COVID	42.165000	-0.004959	18	17	7	13138	0.820000
2.500000	2	2021	43.151000	-0.001732	20	19	3	13084	0.900000
2.500000	3	2022-Bear	43.696000	-0.003379	6	167	2	13046	0.830000
2.500000	4	2023	43.451000	-0.006824	11	17	6	12989	0.890000
2.500000	5	2024-Val	43.010000	-0.009657	16	9	8	13088	0.920000
3.000000	0	2019	48.635000	0.002744	5	6	1	13099	0.930000
3.000000	1	2020-COVID	48.678000	-0.001235	4	5	0	13152	0.860000
3.000000	2	2021	49.103000	0.000127	3	2	1	13101	0.880000
3.000000	3	2022-Bear	49.232000	-0.002851	1	62	0	13051	0.890000
3.000000	4	2023	49.121000	-0.002462	0	0	0	13000	1.010000
3.000000	5	2024-Val	48.775000	-0.005748	4	1	3	13100	0.920000
3.500000	0	2019	49.786000	0.003458	1	1	0	13103	0.870000
3.500000	1	2020-COVID	49.734000	-0.001151	1	0	1	13155	0.920000
3.500000	2	2021	49.858000	0.000526	1	1	0	13103	0.890000
3.500000	3	2022-Bear	49.880000	-0.002816	1	50	0	13051	0.860000
3.500000	4	2023	49.820000	-0.001229	0	0	0	13000	0.980000
3.500000	5	2024-Val	49.715000	-0.003235	1	0	1	13103	0.970000
4.000000	0	2019	49.941000	0.003363	0	1	0	13104	0.830000
4.000000	1	2020-COVID	49.938000	-0.001332	0	0	0	13156	0.910000
4.000000	2	2021	49.962000	0.000559	1	1	0	13103	0.890000
4.000000	3	2022-Bear	49.963000	-0.002811	1	49	0	13051	0.860000
4.000000	4	2023	49.919000	-0.001127	0	0	0	13000	0.950000
4.000000	5	2024-Val	49.918000	-0.002420	0	0	0	13104	0.920000
5.000000	0	2019	49.986000	0.003533	1	0	1	13103	0.850000
5.000000	1	2020-COVID	49.986000	-0.000967	0	0	0	13156	0.900000
5.000000	2	2021	49.987000	0.000466	1	1	0	13103	0.990000
5.000000	3	2022-Bear	49.994000	-0.002811	1	47	0	13051	0.970000
5.000000	4	2023	49.977000	-0.001073	0	0	0	13000	1.040000
5.000000	5	2024-Val	49.987000	-0.002440	0	0	0	13104	0.920000
